Analysis,Business_Purpose,SQL_Concepts
Sales KPI,Measure overall business performance,"SUM, COUNT, DISTINCT, aggregation"
Monthly Sales,Track monthly revenue and profitability,"GROUP BY, date dimension"
Customer Performance,Measure customer-level performance,"JOIN, GROUP BY, aggregation"
Product Performance,Measure product-level performance,"JOIN, GROUP BY, aggregation"
Regional Performance,Compare regional performance,"JOIN, GROUP BY, aggregation"
Discount Analysis,Understand discount behavior,"CASE, GROUP BY"
Return Analysis,Analyze return behavior,"CTE, conditional aggregation"
Return Rate,Calculate valid return rate,"CTE, CROSS JOIN"
Monthly MoM & YoY Growth,Measure revenue growth,"LAG, window functions"
Product Ranking,Rank products by business performance,"RANK, ROW_NUMBER"
Customer Ranking & Segmentation,Segment customers by value,"RANK, NTILE"
Target vs Actual,Compare actual performance with targets,"CTE, JOIN, aggregation"
Regional Ranking,Rank regions across key metrics,"RANK, window functions"
Top & Bottom Products,Identify strongest and weakest products,"CTE, RANK, CASE"
Customer Revenue Concentration,Measure customer revenue concentration,"RANK, SUM OVER"
Discount Effectiveness,Evaluate discount effectiveness,"CASE, aggregation"
Return & Product Impact,Identify high-return products,"CTE, JOIN, conditional aggregation"
Monthly Business Performance,Track monthly business performance,"LAG, window functions"
Seasonality Analysis,Identify recurring seasonal patterns,"GROUP BY, aggregation"
Customer RFM Segmentation,Segment customers using RFM,"NTILE, window functions"
Sales Channel Performance,Compare sales channels,"GROUP BY, aggregation"
Category Portfolio Analysis,Evaluate category portfolio,"CTE, RANK, CASE"
Region × Category Analysis,Compare categories across regions,"PARTITION BY, RANK"
Profitability & Loss Analysis,Identify loss-making business areas,"CASE, aggregation, filtering"
