KPI_Category,KPI_Name,Business_Definition,Formula,Source_Table,Primary_Column,Business_Use
Sales,Total Revenue,Total realized sales value generated from all valid sales transactions.,SUM(Sales_Amount),sales,Sales_Amount,Measures overall sales performance.
Sales,Total Cost,Total cost associated with sales transactions.,SUM(Cost_Amount),sales,Cost_Amount,Measures total cost of sales.
Sales,Total Profit,Total profit generated from sales transactions.,SUM(Profit),sales,Profit,Measures absolute profitability.
Sales,Profit Margin %,Percentage of revenue retained as profit.,Total Profit / Total Revenue * 100,sales,"Profit, Sales_Amount",Measures profitability efficiency.
Sales,Total Orders,Number of unique customer orders.,COUNT(DISTINCT Order_ID),sales,Order_ID,Measures transaction volume.
Sales,Units Sold,Total number of units sold.,SUM(Quantity),sales,Quantity,Measures sales volume.
Sales,Average Order Value,Average revenue generated per order.,Total Revenue / Total Orders,sales,"Sales_Amount, Order_ID",Measures average customer transaction value.
Sales,Average Selling Price,Average realized selling price per unit.,Total Revenue / Units Sold,sales,"Sales_Amount, Quantity",Measures average realized unit price.
Discount,Average Discount %,Average percentage discount applied to sales transactions.,AVG(Discount_Percent),sales,Discount_Percent,Measures overall discounting behavior.
Discount,Discount Amount,Total monetary value given as discounts.,SUM(Gross_Sales - Sales_Amount),sales,"Gross_Sales, Sales_Amount",Measures revenue sacrificed through discounts.
Discount,Discount Impact on Profit,Relationship between discount levels and resulting profitability.,Compare Profit / Margin across discount bands.,sales,"Discount_Percent, Profit",Identifies whether higher discounts improve or reduce profitability.
Customer,Unique Customers,Number of distinct customers who placed orders.,COUNT(DISTINCT Customer_ID),sales,Customer_ID,Measures customer reach.
Customer,Revenue per Customer,Average revenue generated per customer.,Total Revenue / Unique Customers,sales,"Sales_Amount, Customer_ID",Measures customer value.
Customer,Repeat Customers,Customers who placed more than one order.,COUNT(Customer_ID where Order_Count > 1),sales,"Customer_ID, Order_ID",Measures customer retention behavior.
Customer,One-Time Customers,Customers who placed exactly one order.,COUNT(Customer_ID where Order_Count = 1),sales,"Customer_ID, Order_ID",Identifies customers with limited engagement.
Product,Product Revenue,Revenue generated by each product.,SUM(Sales_Amount) by Product_ID,sales,"Product_ID, Sales_Amount",Identifies revenue-driving products.
Product,Product Profit,Profit generated by each product.,SUM(Profit) by Product_ID,sales,"Product_ID, Profit",Identifies profitable products.
Product,Product Margin %,Profitability percentage for each product.,Product Profit / Product Revenue * 100,sales,"Product_ID, Profit, Sales_Amount",Compares product profitability.
Regional,Regional Revenue,Revenue generated by each region.,SUM(Sales_Amount) by Region_ID,sales,"Region_ID, Sales_Amount",Measures regional sales performance.
Regional,Regional Profit,Profit generated by each region.,SUM(Profit) by Region_ID,sales,"Region_ID, Profit",Measures regional profitability.
Regional,Target Achievement %,Percentage of target revenue achieved.,Actual Revenue / Target Revenue * 100,sales + target,Sales_Amount + Target,Measures performance against business targets.
Return,Valid Return Quantity,Quantity returned from records classified as valid returns.,SUM(Analytical_Return_Quantity),return,Analytical_Return_Quantity,Measures valid returned units.
Return,Return Rate %,Percentage of sold units that were validly returned.,Valid Returned Quantity / Units Sold * 100,return + sales,Analytical_Return_Quantity + Quantity,Measures product return risk.
Return,Refund Amount,Total refund value associated with returns.,SUM(Analytical_Refund_Amount),return,Analytical_Refund_Amount,Measures financial impact of returns.
Time,Monthly Revenue,Revenue generated during each month.,SUM(Sales_Amount) by Year and Month,sales,"Sales_Amount, Year, Month",Tracks revenue trends.
Time,MoM Revenue Growth %,Percentage change in revenue compared with the previous month.,(Current Revenue - Previous Revenue) / Previous Revenue * 100,sales,"Sales_Amount, Year, Month",Measures short-term growth.
Time,YoY Revenue Growth %,Percentage change in revenue compared with the same period in the previous year.,(Current Revenue - Previous Year Revenue) / Previous Year Revenue * 100,sales,"Sales_Amount, Year, Month",Measures year-over-year growth.
